# Clase8 - sistemas_multiagente (con timestamps)

[00:00:00 -> 00:00:24]  Un
[00:05:31 -> 00:05:48]  Bien, antes de arrancar, analizar el juego alternado, vamos a empezar por un juego simple
[00:05:48 -> 00:05:54]  y no vamos a enfocar primero como si fuera un juego simultáneo, vamos a analizarlo con
[00:05:54 -> 00:05:56]  las técnicas que tenemos.
[00:06:00 -> 00:06:02]  Es sencillo.
[00:06:02 -> 00:06:07]  Bueno, ahí dice jugar al derrame, pero vamos a hacerlo primero no al derrame.
[00:06:07 -> 00:06:11]  Hay dos agentes de dos juegos.
[00:06:11 -> 00:06:15]  Hay dos agentes.
[00:06:15 -> 00:06:17]  Uno lo vamos a llamar agente.
[00:06:17 -> 00:06:18]  ¿Bien?
[00:06:18 -> 00:06:20]  Que va a ser el que...
[00:06:20 -> 00:06:24]  ...es el caso de jugador de la ronca y que juega primero.
[00:06:25 -> 00:06:30]  Por ejemplo, en el caso de no eternado va a ser el jugador china.
[00:06:31 -> 00:06:37]  Uno que elige una caja y el otro componente que elige un número dentro de la caja.
[00:06:40 -> 00:06:42]  Las cajas son ABC.
[00:06:42 -> 00:06:49]  Ahora vamos a pensar en términos de simultáneo.
[00:06:55 -> 00:06:58]  Primero lo tengo que explicar, porque después voy a compartir.
[00:06:59 -> 00:07:05]  Hay tres cajas a veces y después dentro de cada caja hay, digamos, dos acciones.
[00:07:05 -> 00:07:11]  Ahora vamos a suponer que hay un orden en esos dos.
[00:07:11 -> 00:07:19]  esos dos números que están ahí corresponden a la utilidad de los cartas que estarán dentro de la caja
[00:07:19 -> 00:07:27]  y que se pueden llamar las cartas L, que están a la izquierda, y la carta R, que está a la derecha.
[00:07:27 -> 00:07:32]  Nos vamos a poner un orden y nos vamos a nombrar de esa manera.
[00:07:32 -> 00:07:37]  Y el número que está es la utilidad para GEN.
[00:07:37 -> 00:07:47]  Y siendo un juego de suma 0, eso quiere decir que la carta L que está dentro de la caja A,
[00:07:47 -> 00:07:51]  la que es para gente de menos 50, o sea, lo que es para gente de 40, es 5.
[00:07:51 -> 00:08:00]  O sea, es medio confuso porque no es menos 50 a 50 la suma 0, sino la suma 0 es entre menos 50 con 50 y 50 con menos 50.
[00:08:00 -> 00:08:13]  Es más fácil explicarlo acá. O sea, acá este es un juego de suma cero, la carta left de la caja B es 1 para agente, menos 1 para opulente.
[00:08:13 -> 00:08:22]  La carta right es 3 para agente, menos 3 para opulente. Ahí está el tema de la suma cero.
[00:08:22 -> 00:08:27]  Entonces es... el otro es medio 5-15.
[00:08:27 -> 00:08:30]  Dejo de compartir, hacemos el pizarra.
[00:08:30 -> 00:08:37]  Y vamos a ver que esto es un juego primero de simultánea.
[00:08:37 -> 00:08:41]  Entonces, ¿cómo lo modela el Agin?
[00:08:41 -> 00:08:43]  Así.
[00:08:43 -> 00:08:59]  Bueno, aquí es agente, es jugador fila, bien, este es agente, este es oponente,
[00:08:59 -> 00:09:01]  Ahora es simultáneo, ¿no? ¿Dónde está?
[00:09:01 -> 00:09:05]  La caja A, la caja B, la caja C, ¿bien?
[00:09:05 -> 00:09:14]  Y este dice, bueno, dentro de la caja A elijo la carta que está a la izquierda o la carta que está a la derecha.
[00:09:14 -> 00:09:20]  Y ahora pongo las utilidades desde el punto de vista de Agenda.
[00:09:20 -> 00:09:24]  la izquierda o la izquierda que está a la derecha.
[00:09:24 -> 00:09:28]  Y ahora pongo las utilidades del punto de vista de Ager.
[00:09:33 -> 00:09:38]  Menos 50-50, 1-3,
[00:09:39 -> 00:09:41]  menos 5-5.
[00:09:41 -> 00:10:03]  ¿Cómo resolverían este juego? O sea, un juego simulaño, suma a cero, por ejemplo, ¿qué buscarían?
[00:10:03 -> 00:10:10]  ¿Cómo lo resolviste? Como dijimos, resolvió de alguna estrategia
[00:10:10 -> 00:10:17]  que sea de equilibrio de las. ¿Por qué? Como cualquier otro equilibrio.
[00:10:17 -> 00:10:28]  De equilibrio dominante, etc. Las estrategias dominantes, claro, ni mal no hay.
[00:10:28 -> 00:10:32]  siempre están cruzadas
[00:10:32 -> 00:10:36]  esta es mayor que esta acá y esta es mayor que esta acá
[00:10:36 -> 00:10:40]  esta es mayor que esta acá y esta es mayor que esta acá
[00:10:43 -> 00:10:47]  es lo mismo para oponentes
[00:10:47 -> 00:10:51]  ¿Hay equilibrios de Nash?
[00:10:51 -> 00:10:54]  ¿Pense que no?
[00:10:54 -> 00:11:01]  Y vamos a ver, se acuerdan como... acá hacemos lo de las rayitas también, de usar los colores
[00:11:01 -> 00:11:07]  Pero hay un solo número, no importa, porque cuando lo hacemos para azul tenemos que complementar lo que está
[00:11:07 -> 00:11:10]  O sea, si...
[00:11:10 -> 00:11:12]  Bueno, lo que ponés tenés que elegir derecho, ¿no?
[00:11:15 -> 00:11:18]  Ahí, sin importar qué dice la gente, ¿no?
[00:11:18 -> 00:11:24]  Bueno, vamos a ver.
[00:11:24 -> 00:11:30]  Si...
[00:11:30 -> 00:11:41]  Estas son las utilidades para agentes.
[00:11:41 -> 00:11:44]  Para oponentes menos un duelo es menos tres.
[00:11:44 -> 00:11:46]  Pero menos tres es más chico que menos uno.
[00:11:46 -> 00:11:49]  Tampoco tiene una estrategia.
[00:11:50 -> 00:11:52]  Estas son las utilidades para gente.
[00:11:52 -> 00:11:53]  Para gente.
[00:11:53 -> 00:11:57]  Entonces para vos ponente, como su juego suma 0 es menos lo que está ahí.
[00:11:57 -> 00:12:03]  No nos comentaba poner el muro en rojo y ponemos el contrario en azul.
[00:12:03 -> 00:12:03]  Bueno, bueno.
[00:12:03 -> 00:12:05]  Sí, sí, sí.
[00:12:05 -> 00:12:05]  ¿Está bien?
[00:12:05 -> 00:12:07]  Así nos perdemos menos también.
[00:12:10 -> 00:12:12]  Vamos a hacerlo así, así no...
[00:12:13 -> 00:12:15]  Menos 50.
[00:12:15 -> 00:12:28]  1 es menos 5, esto es 50, 3 es 15 y azul es 50.
[00:12:28 -> 00:12:30]  No, no, no, no, no apretá el...
[00:12:30 -> 00:12:32]  Aquí está el pino.
[00:12:43 -> 00:12:48]  Acá se ve que por ejemplo acá hay relleno con el...
[00:12:48 -> 00:12:51]  O sea, a oponente del congelo.
[00:12:51 -> 00:12:53]  Diciando que si...
[00:12:53 -> 00:12:57]  Bien, entonces, el equilibrio en H
[00:12:57 -> 00:13:04]  que marcamos. Para gente, ¿cuál es la best response a L?
[00:13:06 -> 00:13:14]  1, ¿no? La best response es la acción que le da la mayor utilidad.
[00:13:14 -> 00:13:18]  Vamos a hacerlo para las estrategias 1.
[00:13:18 -> 00:13:24]  Y para frente a R, es 50.
[00:13:24 -> 00:13:26]  A ver si... ah.
[00:13:27 -> 00:13:29]  O sea, también...
[00:13:31 -> 00:13:39]  Agente nunca jugaría C a esto, para que no se hundiera, porque siempre hay una...
[00:13:39 -> 00:13:42]  para cada acción siempre hay una que tiene utilidad mayor.
[00:13:42 -> 00:13:59]  Aquí frente a ¿cuál es la respons de oponente? 50.
[00:13:59 -> 00:14:11]  o sea, L frente a B es esta, ¿no?
[00:14:11 -> 00:14:18]  Y en? ya acá no importa porque...
[00:14:18 -> 00:14:20]  ¿Porque la va a eliminar?
[00:14:20 -> 00:14:21]  ¿Porque?
[00:14:21 -> 00:14:24]  Sí, aunque este es 5,
[00:14:25 -> 00:14:29]  marco, pero igual ya sabemos que no podía haber ninguna...
[00:14:29 -> 00:14:31]  este...
[00:14:31 -> 00:14:34]  Yo decía, ah, este es con miante, ah.
[00:14:35 -> 00:14:39]  Es cierto, frente a A,
[00:14:40 -> 00:14:42]  él le conviene jugar. Sí, le conviene jugar este.
[00:14:42 -> 00:14:45]  Frente a B, le conviene jugar esta.
[00:14:45 -> 00:14:50]  Y bueno, frente a C, también le conviene jugar B.
[00:14:51 -> 00:14:58]  ¿Por qué? ¿5?
[00:14:58 -> 00:15:03]  Ahí sí, está bien diciendo. Ahí vemos que tenía una estrategia más fácil,
[00:15:03 -> 00:15:08]  pero se tenía una estrategia al revés. No era la regla.
[00:15:08 -> 00:15:11]  Pero bueno, el equilibrio en H es este.
[00:15:11 -> 00:15:19]  ¿Puedo jugar con esto?
[00:15:19 -> 00:15:23]  Básicamente el tema es que no hay...
[00:15:23 -> 00:15:29]  No tienes que jugar simultáneamente sin saber qué acción...
[00:15:29 -> 00:15:45]  En este caso ya estamos a ver otra manera, se habrá pasado por algo medio rápido que llamamos minimax,
[00:15:45 -> 00:15:52]  que luego lo vamos a volver a ver, que se ha enterrado, por eso lo he pensado repetirlo acá,
[00:15:52 -> 00:15:57]  que era, en algunos casos, los equilibrios que llamamos de minimax,
[00:15:57 -> 00:16:04]  en los juegos de los jugadores suma a 0, era el equilibrio de nash y sólo va a una manera más sencilla de resolver,
[00:16:04 -> 00:16:06]  pero sólo me daba un hip-hop un.
[00:16:07 -> 00:16:13]  Y puede no haber una estrategia pura.
[00:16:16 -> 00:16:21]  Pero bueno, acá, ¿cómo lo hacemos acá?
[00:16:22 -> 00:16:27]  Acá si miremos solamente los números rojos
[00:16:28 -> 00:16:34]  Porque cuando hacemos min y max, miramos solamente uno de los números
[00:16:35 -> 00:16:41]  min es lo que dice oponente y max es lo que dice ajed
[00:16:42 -> 00:16:44]  Entonces
[00:16:44 -> 00:16:53]  Y podemos dar la misma idea de la red response frente a L.
[00:16:53 -> 00:17:00]  O sea, cuál es la red response?
[00:17:00 -> 00:17:07]  El que tiene el valor máximo que entra con una.
[00:17:07 -> 00:17:09]  O sea, es una.
[00:17:09 -> 00:17:19]  Y el valor máximo en esta columna es 50
[00:17:19 -> 00:17:25]  Estos son los max
[00:17:25 -> 00:17:35]  Pero ahora, oponente de estos, elige min
[00:17:35 -> 00:17:37]  ¿Sí?
[00:17:40 -> 00:17:42]  Sí
[00:17:43 -> 00:17:45]  ¿Y es?
[00:17:45 -> 00:17:47]  No
[00:17:48 -> 00:17:51]  Si corresponde a ver
[00:17:53 -> 00:17:58]  Pero así como hicimos esta red deberíamos poder hacer el inverso
[00:17:58 -> 00:18:01]  O sea, porque no hay orden
[00:18:01 -> 00:18:06]  min max o max min debería decirlo en el 12
[00:18:06 -> 00:18:08]  tendría que elegir los min
[00:18:09 -> 00:18:11]  siempre rojos
[00:18:11 -> 00:18:18]  entonces el min rojo acá es menos 50
[00:18:20 -> 00:18:25]  el min rojo es 1
[00:18:26 -> 00:18:30]  y el min acá es menos 5
[00:18:31 -> 00:18:40]  Pero ahora le tocaría a gente de elegir, y entonces va a ser de todos los 1000 que va a elegir el oponente va a elegir el más.
[00:18:40 -> 00:18:45]  Y esto es uno y uno sí.
[00:18:47 -> 00:18:50]  Los dos análisis.
[00:18:56 -> 00:18:59]  Bien, ahora, vamos.
[00:19:01 -> 00:19:08]  Vamos un poquito al alternado y a lo que dice como está presentado.
[00:19:08 -> 00:19:13]  Lo de la carta de la izquierda y la carta de la derecha es la mayor literaria.
[00:19:19 -> 00:19:30]  ¿Qué pasa si simplemente yo digo, por ejemplo, hay que elegir una carta
[00:19:30 -> 00:19:38]  y tiene distintos nombres, o simplemente por ejemplo hacemos que en la caja B
[00:19:38 -> 00:19:46]  invierto los valores, invierto las utilidades, yo digo el de right
[00:19:46 -> 00:19:54]  tiene 1 y el de left tiene 3
[00:19:54 -> 00:20:01]  Si usted todavía había discutido el método de análisis de los juegos alternados,
[00:20:01 -> 00:20:04]  diría que si esto fuera un juego alternado, ¿cambiaría?
[00:20:09 -> 00:20:14]  Sí, porque algunos juegos elegirían primero la caja.
[00:20:14 -> 00:20:16]  ¿Y entonces?
[00:20:16 -> 00:20:19]  Y el otro juego elegiría lo mejor, la mejor respuesta a esa caja.
[00:20:19 -> 00:20:23]  Y no necesariamente la misma acción en todas las cajas.
[00:20:23 -> 00:20:29]  La que me dice que no estamos ahora con eso, pero ¿qué pasa acá?
[00:20:29 -> 00:20:35]  ¿Qué pasa acá? O sea, si yo hiciera eso en el menú,
[00:20:35 -> 00:20:40]  entonces si lo quisiera modelar por un juego simultáneo,
[00:20:40 -> 00:20:45]  ¿qué me iba a quedar? Allá me iba a quedar que...
[00:20:45 -> 00:20:55]  ¿Me voy a quedar a cambiar un 1?
[00:20:55 -> 00:20:57]  O a mi me va a quedar un 3.
[00:20:57 -> 00:21:01]  Aca un...
[00:21:01 -> 00:21:03]  Vamos a estirar lo mismo, no.
[00:21:03 -> 00:21:11]  Menos 3 y esto menos 1.
[00:21:11 -> 00:21:21]  Ahora, ¿cuál es la B-response de frente a L?
[00:21:25 -> 00:21:30]  Bueno, sigue siendo esto, sigue siendo el valor positivo.
[00:21:32 -> 00:21:39]  Pero, ¿cuál de los dos es la B-response para frente a B?
[00:21:39 -> 00:21:44]  que queda acá, que queda a menos 1, y a este lado.
[00:21:44 -> 00:21:49]  Entonces ahora ya me... solo porque di cuenta de eso.
[00:21:49 -> 00:21:54]  Que intuitivamente, como que en los juegos, si fuera alterado, de hecho, lico primero la caja
[00:21:54 -> 00:22:03]  y después leí con el número, no me molestaría, debería poder resolverlo y debería poder elegir...
[00:22:03 -> 00:22:07]  Pero entonces ahí ya no me queda ninguno marcado.
[00:22:09 -> 00:22:19]  Y si yo hago Minimax, acá me queda 3, acá me queda 50, y de este lado me queda 3.
[00:22:19 -> 00:22:46]  y acá me queda el max, el max así que es 50, el mínimo es el mínimo, el mínimo es 50,
[00:22:46 -> 00:22:53]  Es él que elige acá el que es el menor 50, o sea, es esto.
[00:22:53 -> 00:22:58]  Acá elige el mínimo que es el menor 3.
[00:23:01 -> 00:23:07]  Elige... Sí, sí, porque está eliguiendo sobre la roja.
[00:23:07 -> 00:23:12]  Entonces elige... Sí, no, parece por eso. Es el menor 50.
[00:23:12 -> 00:23:19]  Entonces elige 1 y acá elige el mínimo de acá que es menos 5.
[00:23:20 -> 00:23:23]  Y acá da 1, o sea, es un distinto.
[00:23:23 -> 00:23:28]  No hay solución minima.
[00:23:28 -> 00:23:54]  Entonces, hay un cambio cuando pasamos a unas.
[00:23:54 -> 00:23:59]  hay un cambio.
[00:23:59 -> 00:24:06]  Perdón, cuando pasamos de juegos simultáneos vamos a estar...
[00:24:06 -> 00:24:09]  por el hecho de que hay un conocimiento adicional
[00:24:09 -> 00:24:17]  que es la acción que jugaron los jugadores anteriores
[00:24:17 -> 00:24:21]  asumiendo que eso es observable, que es lo que es
[00:24:21 -> 00:24:24]  No lo explicité, pero es asumiendo.
[00:24:24 -> 00:24:32]  En este caso, bueno, el juego lo que pasa es que la elección de la caja es visible para el jugador.
[00:24:34 -> 00:24:44]  Pero bueno, he dicho, señor Passen, entre paréntesis, si bien no hay soluciones en estrategias puras,
[00:24:44 -> 00:24:48]  hay en estrategias mixtas por Nash.
[00:24:48 -> 00:24:51]  Así que, bueno, si te quieres después buscar
[00:24:52 -> 00:24:56]  Pero no lo voy a poder hacer porque ya se mueran que con treco por doya era complicado
[00:24:56 -> 00:24:58]  Así que, vamos a...
[00:25:03 -> 00:25:05]  Pero bueno, entonces, la...
[00:25:08 -> 00:25:10]  La cuestión ahora es
[00:25:11 -> 00:25:14]  ¿Cómo modelaríamos, primero?
[00:25:14 -> 00:25:25]  Este juego, para poder analizarlo, tenemos que encontrar un modelo, como por ejemplo
[00:25:25 -> 00:25:35]  en el caso de los juegos de concepto clásico conectado, modelamos por un MDP.
[00:25:35 -> 00:25:48]  El modelo, bueno, a veces como que se puede imaginar en este caso, sabiendo que las acciones
[00:25:48 -> 00:25:54]  y las elecciones son visibles, sobre toda la información que está ahí es visible.
[00:25:54 -> 00:26:03]  Entonces, como decir, el modelo natural de este tipo de juegos es un árbol.
[00:26:05 -> 00:26:14]  Es un árbol donde ya la información mínima que hay en cada nodo es quién juega.
[00:26:14 -> 00:26:19]  La cual sea la gente que pueda actuar en ese nodo.
[00:26:19 -> 00:26:28]  Entonces, este nodo va a ser Agente, el jugador.
[00:26:28 -> 00:26:36]  Y después en ese nodo, Agente tiene tres acciones.
[00:26:36 -> 00:26:38]  y el nombre es A, D, C
[00:26:44 -> 00:26:46]  acá se va a otro lado
[00:26:50 -> 00:26:52]  acá ya tenemos más información
[00:26:56 -> 00:26:58]  6 juegos oponentes
[00:27:00 -> 00:27:02]  pero bueno, además sé cuál es la caja
[00:27:02 -> 00:27:04]  que se metió
[00:27:06 -> 00:27:13]  Y acá están las acciones de oponente.
[00:27:22 -> 00:27:25]  Que no están nombradas, es elegir una u otra.
[00:27:25 -> 00:27:32]  Y acá le ponemos la sí, ahora sí, porque puedo sumar hacer, si quieren le ponen el vector, pero...
[00:27:32 -> 00:27:40]  ponemos acá menos 50, 50, realmente esto se pone con un cuadradito
[00:27:46 -> 00:27:54]  1, 2, puede ser al revés, ahora ya sabemos que puede ser al revés
[00:27:54 -> 00:28:01]  y luego estar así porque sí está la positiva, si no, y no,
[00:28:01 -> 00:28:05]  se fundimos, pero puede ser al revés, obviamente.
[00:28:08 -> 00:28:12]  Y, si quieren, no hay nombre de salidacciones, pero si quieren, les podemos hacer.
[00:28:18 -> 00:28:20]  Este es el modelo.
[00:28:20 -> 00:28:22]  Es ese el mismo modelo.
[00:28:22 -> 00:28:30]  No hay otra información más porque las decisiones son totalmente deterministas.
[00:28:30 -> 00:28:32]  De los... hasta ahí, del juego.
[00:28:32 -> 00:28:38]  O sea, lo que es el marco hasta acá es lo que llamaríamos el marco del juego.
[00:28:38 -> 00:28:45]  O sea, el marco del juego se desarrocha de esta manera, como cuando lees las instrucciones de la caja.
[00:28:45 -> 00:28:50]  El primer jugador empieza eligiendo una caja.
[00:28:50 -> 00:28:55]  Segundo jugador, ahí hay la carta dentro de la caja.
[00:28:55 -> 00:28:57]  Marcos, tu.
[00:28:57 -> 00:29:02]  Acá tenemos un juego y, igual que el otro jugador, tenemos las habilidades.
[00:29:06 -> 00:29:13]  Y, además dijimos, suma 0, o sea que lo que uno gana, el otro lo quiera.
[00:29:13 -> 00:29:20]  Ahora tenemos que resolver el juego.
[00:29:20 -> 00:29:23]  Tenemos que resolver el efecto.
[00:29:23 -> 00:29:29]  Esencialmente, encontrar una estrategia para cada ente.
[00:29:29 -> 00:29:32]  Para ente y para oponente.
[00:29:32 -> 00:29:37]  El concepto es el mismo, es encontrar una estrategia conjunta.
[00:29:37 -> 00:29:40]  Y...
[00:29:40 -> 00:29:45]  va a ser igual a un par...
[00:29:52 -> 00:29:55]  y...
[00:29:55 -> 00:30:00]  va a ser igual a...
[00:30:00 -> 00:30:05]  Y la gente, no le así, y...
[00:30:05 -> 00:30:08]  ¡Qué oponente!
[00:30:08 -> 00:30:11]  Pero me está faltando algo, ¿dónde?
[00:30:11 -> 00:30:18]  ¿Es una estrategia única y global para las acciones?
[00:30:18 -> 00:30:23]  No, es como los MDP, o sea, los juegos de tocastico, necesito una, porque acá hay estados.
[00:30:23 -> 00:30:27]  Es como los MDP, necesito una...
[00:30:27 -> 00:30:37]  Acá hay estados, entonces necesito una estrategia para cada estado.
[00:30:37 -> 00:30:40]  Ahora las estrategias son funciones.
[00:30:40 -> 00:30:47]  Lo pueden ver como una estrategia que es una función de los estados, que me da para cada estado un par.
[00:30:47 -> 00:30:50]  Estrategia de agentes y estrategia oponentes.
[00:30:50 -> 00:31:01]  o como cada estado tiene una estrategia.
[00:31:04 -> 00:31:08]  Bien, ahora una pregunta que puede surgir es
[00:31:10 -> 00:31:18]  ¿Necesito una estrategia para todo agente en todo estado?
[00:31:18 -> 00:31:24]  Porque el oponente no juega acá, mi agente juega acá.
[00:31:24 -> 00:31:41]  No podría, pero en este caso, dado que los turnos de la gente que juega en un determinado estado está predeterminado por el estado,
[00:31:41 -> 00:31:47]  Por acá está predeterminado el estado este de juego agente, el estado este de juego aparente.
[00:31:47 -> 00:31:50]  Bueno, no sería necesario.
[00:31:50 -> 00:32:02]  En el caso general, en muchos juegos, el jugador que juega primero no está predeterminado.
[00:32:02 -> 00:32:07]  El resultado de, por ejemplo, tirar una moneda o...
[00:32:07 -> 00:32:16]  Un juego así se conoce, un juego que se llama Azul, súper interesante, que simulan
[00:32:16 -> 00:32:24]  paldocitas de cerámica y hay que armar todas unas cosas de colores.
[00:32:24 -> 00:32:34]  El juego tiene algo de azar, pero bastante de encontrar una estrategia.
[00:32:34 -> 00:32:41]  Para hacer de estrategia y bueno, la regla para empezar es el último que estuvo en contuga
[00:32:41 -> 00:32:46]  Es decir, no está determinado de además
[00:32:46 -> 00:32:52]  Y otra cosa más importante, la verdad es que el 1 lo conozco
[00:32:52 -> 00:32:57]  Y hay otras variantes del 1 que no conozco
[00:32:57 -> 00:33:18]  Pero en el juego como el 1 hay cartas que cambian el sentido de la mano, saltean a jugadores, o incluso hacen volver a jugar.
[00:33:18 -> 00:33:25]  Entonces no hay necesariamente una alternancia predeterminada, ni sé de
[00:33:25 -> 00:33:30]  antemano quién juega en un determinado estado.
[00:33:30 -> 00:33:34]  ¿Puede tener relación si juega?
[00:33:34 -> 00:33:39]  Entonces, bueno, por eso.
[00:33:39 -> 00:33:52]  En casos generales, todo agente tiene una política, en estrategia, un top-down.
[00:33:52 -> 00:34:03]  Y es interesante, después, los algoritmos, ver el comportamiento del mismo algoritmo de aprendizaje.
[00:34:03 -> 00:34:10]  Por ejemplo, en juegos en los cuales el orden está fijo,
[00:34:10 -> 00:34:19]  ¿qué pasa si usamos el mismo algoritmo para la gente que juega primero y para el cual se juega?
[00:34:19 -> 00:34:24]  ¿A qué estrategia converte cada uno?
[00:34:24 -> 00:34:26]  Está.
[00:34:26 -> 00:34:30]  Bien. Ahora...
[00:34:30 -> 00:34:37]  Y acá ahora lo que debemos, o lo que vamos a hacer es encontrar las estrategias.
[00:34:40 -> 00:34:48]  Y así como nos planteamos los juegos simultáneos diferentes,
[00:34:48 -> 00:34:51]  buscar algún concepto que terminó siendo el equilibrio en ARCH,
[00:34:51 -> 00:34:56]  que puede terminar siendo los equilibrios correlacionados y todo eso,
[00:34:56 -> 00:35:07]  Acá vamos a hacer un poco de ejercicio de qué cosas pueden llegar a ocurrir o cuáles serían los convocamientos determinados.
[00:35:07 -> 00:35:15]  O sea, bueno, qué sería lo que había que buscar en función de cómo se comportan nosotros.
[00:35:15 -> 00:35:24]  Porque, bueno, hay que poder ponerse en el rol de un agente y oponente.
[00:35:24 -> 00:35:33]  porque la gente tiene que jugar sin saber que jugó.
[00:35:33 -> 00:35:35]  O sea, un oponente no jugó.
[00:35:35 -> 00:35:39]  La gente debe hacer hipótesis sobre qué va a jugar.
[00:35:39 -> 00:35:46]  El oponente ya jugó, o sea, ya puede definir su estrategia
[00:35:46 -> 00:35:52]  de manera...dado que ya saben que está en el estado de estar y...
[00:35:52 -> 00:36:00]  En este caso, pero imagínense un juego como el de Atleti que, por este árbol,
[00:36:00 -> 00:36:04]  puede tener tanto resumir a uno como quiera, ¿no?
[00:36:04 -> 00:36:09]  Acá hay dos, pero si hubiera una tercera jugada, cuarta jugada, uno jugara, eso...
[00:36:09 -> 00:36:11]  ...se pudiera ganar.
[00:36:11 -> 00:36:16]  Pero acá, en este caso, ya oponente...
[00:36:16 -> 00:36:24]  juega por la estrategia de agente a la misma.
[00:36:27 -> 00:36:36]  Entonces, vamos ahora en el rol de agente.
[00:36:36 -> 00:36:37]  ¿Vamos?
[00:36:37 -> 00:36:38]  ¿Un pregunta?
[00:36:38 -> 00:36:39]  Sí, va.
[00:36:39 -> 00:36:40]  Bueno.
[00:36:40 -> 00:36:42]  Un darlo.
[00:36:42 -> 00:36:52]  ¿Cómo modelaría si la misma acción de agente me puede llevar a distintos estados?
[00:36:52 -> 00:36:56]  ¿O estaba un juego de cartas donde se pide una carta?
[00:36:56 -> 00:37:00]  Con eso lo iba a ver después, pero yo quería la pregunta.
[00:37:00 -> 00:37:08]  En realidad la manera más sencilla de eso, si el efecto es estocástico,
[00:37:08 -> 00:37:16]  Entonces, existe otro tipo de nodo en el cual vamos a hacer este tipo de cosas.
[00:37:16 -> 00:37:20]  Esa sería la manera más fácil.
[00:37:20 -> 00:37:25]  No tengo ver, pero al final, claro.
[00:37:25 -> 00:37:33]  La pasaje es A y después tiene como pasaje A1
[00:37:33 -> 00:37:37]  Esa sería la...
[00:37:37 -> 00:37:41]  Lo podés simular
[00:37:41 -> 00:37:46]  Si, esta probablemente no sería observable
[00:37:46 -> 00:37:55]  Ya podía tener un gano acá, directo, pero podía ser como si no hubiese eso.
[00:37:55 -> 00:37:59]  Podía haber más de uno.
[00:37:59 -> 00:38:04]  Y ahí algoritmos que no soportan y otra vez no.
