# Clase3 - sistemas_multiagente (con timestamps)

[00:00:00 -> 00:00:18]  Bien, tomo la renovación.
[00:05:19 -> 00:05:40]  Por acaso de algo así, 2, 3, 3, 1, 0, 0,
[00:05:40 -> 00:05:44]  ¿o sí? o no, es este...
[00:05:44 -> 00:05:48]  es uno, uno, dos
[00:05:52 -> 00:05:58]  este sería el caso de, por ejemplo, Split, Steal,
[00:05:58 -> 00:06:03]  Split, Steal, pero no con las preferencias de Sara Steel,
[00:06:03 -> 00:06:07]  por otra forma
[00:06:07 -> 00:06:19]  Entonces, el valor es 0, ¿no?
[00:06:19 -> 00:06:21]  Entonces es 1.
[00:06:21 -> 00:06:23]  ¿Esto qué es?
[00:06:23 -> 00:06:25]  1.
[00:06:25 -> 00:06:30]  Entonces, bueno.
[00:06:30 -> 00:06:32]  Esto es importante.
[00:06:32 -> 00:06:45]  Entonces, la idea que cuando le vamos a un llamado a la gente es que la solución que se busca es una
[00:06:45 -> 00:06:54]  situación de equilibrio, esencialmente donde ninguno de los agentes se movería de ese lugar
[00:06:54 -> 00:06:59]  por si se han dado los piños o los ojos.
[00:06:59 -> 00:07:07]  Fue en eso, no hay ningún sentido particular en el imogarse para hacer algo.
[00:07:07 -> 00:07:17]  Pero a partir de ahí, vimos que dependiendo del tipo de sistema, empezamos a hacer hechillos,
[00:07:17 -> 00:07:21]  que estamos después a subir un poquito la complejidad,
[00:07:23 -> 00:07:27]  la técnica de encontrar los equilibrios
[00:07:27 -> 00:07:33]  es el concepto de equilibrio que tiene que hacer paso.
[00:07:33 -> 00:07:36]  Lo que primero...
[00:07:39 -> 00:07:44]  lo que vimos que está atrás de hecho es que...
[00:07:47 -> 00:07:59]  en lo que ahora tenemos un poco como racionalidad.
[00:07:59 -> 00:08:08]  Racionalidad colectiva que puede indicar a que todos tenemos un acuerdo para maximizar la utilidad
[00:08:08 -> 00:08:17]  Vexo es un individuo, Vexo es una acción más individual que es la que daba a partir de vosotros.
[00:08:17 -> 00:08:25]  Y hablamos del conocimiento común.
[00:08:25 -> 00:08:29]  Conocimiento común, porque...
[00:08:29 -> 00:08:35]  Dado una situación de conocimiento, por ejemplo, si estamos en una situación en que el ambiente es
[00:08:35 -> 00:08:41]  de información completa, como por ahora son todos los casos que vimos,
[00:08:41 -> 00:08:46]  o si es de información parcial,
[00:08:46 -> 00:08:51]  esto tiene que ver con la información que recibe cada agente,
[00:08:51 -> 00:08:56]  sobre el estado del ambiente, que incluye también eventualmente el estado,
[00:08:56 -> 00:09:00]  o sea, las acciones, o lo que sea, las preferencias, las utilidades,
[00:09:00 -> 00:09:01]  de los otros agentes.
[00:09:01 -> 00:09:07]  el sabor a la física, o sea, que lo hemos puesto a los agentes adentro del ambiente.
[00:09:09 -> 00:09:15]  Esto quiere decir que, bueno, eventualmente los agentes observan las cosas que hacen
[00:09:15 -> 00:09:22]  las utilidades, las acciones, etcétera, de los agentes.
[00:09:22 -> 00:09:25]  Para ello eso nos da distintos grados de conocimiento.
[00:09:25 -> 00:09:27]  O sea, juntan distintos grados de información.
[00:09:27 -> 00:09:30]  O sea, eso es una cosa, esa es la información que reciben.
[00:09:30 -> 00:09:35]  El conocimiento común es lo que tenemos que asumir como algo racional,
[00:09:35 -> 00:09:40]  o sea, no podemos asumir que una gente tiene un conocimiento,
[00:09:40 -> 00:09:46]  si necesita un conocimiento, sabe que es un equilibrio y que los otros técnicos no lo saben.
[00:09:46 -> 00:09:49]  Esa es la idea.
[00:09:49 -> 00:09:55]  Si una gente puede hacer un determinado algoritmo, poner que todo el máster es el tronzo.
[00:09:55 -> 00:10:15]  Más el hecho es que si una gente sabe que el otro agente no va a elegir por ejemplo
[00:10:15 -> 00:10:29]  estrategias que son dominadas y bueno, el otro agente sabe que el otro agente sabe que no va a elegir la movilidad y así se interese.
[00:10:29 -> 00:10:36]  No se puede argumentar el desconocimiento de la ley.
[00:10:36 -> 00:10:41]  Son son sabidas que no podía cruzar los ojos de un poco más.
[00:10:41 -> 00:10:46]  No se puede argumentar que sabes que no te pasas.
[00:10:46 -> 00:10:48]  como ya lo sabíamos por un poco.
[00:10:51 -> 00:10:54]  Entonces voy a comentar que no te pasará.
[00:10:59 -> 00:11:03]  Esas son las cosas fundamentales de que sobre esto reposa.
[00:11:07 -> 00:11:09]  Cuatro. Ahí...
[00:11:09 -> 00:11:18]  sale después de varios intentos de abordar el problema de cómo resolver el problema de alguna manera
[00:11:18 -> 00:11:24]  es encontrar una estrategia que tenga algunas características especulares que sean del individuo
[00:11:24 -> 00:11:36]  Ahí surge el equilibrio de una esencia.
[00:11:36 -> 00:11:39]  Un equilibrio en particular.
[00:11:39 -> 00:11:43]  Primero habíamos visto el equilibrio de las estrategias dominantes.
[00:11:43 -> 00:11:53]  Si una gente tiene una estrategia, es que digamos el vector de habilidades que tiene,
[00:11:53 -> 00:11:59]  por todas las agencias, es mayor, o igual que todo lo demás, al menos uno mayor.
[00:11:59 -> 00:12:06]  Entonces la razón de la idea es que lo más quizá sea su estrategia.
[00:12:06 -> 00:12:16]  Pero si te llegan problemas, no siempre hay soluciones, también no es un concepto muy...
[00:12:16 -> 00:12:20]  ...
[00:12:20 -> 00:12:22]  Por eso aparece el video de ahora.
[00:12:22 -> 00:12:24]  El video de ahora lo vimos.
[00:12:24 -> 00:12:40]  Se va a estar basado en el concepto de la idea de que todos los agentes eligen lo que es la mejor respuesta a todos los remotes.
[00:12:40 -> 00:12:49]  Si así todos simultáneamente eligen, hacen la acción que es la mejor respuesta a todas las cosas,
[00:12:49 -> 00:12:52]  entonces eso es un error.
[00:12:57 -> 00:13:03]  Lo que creo que hay que hacer es que en el primer tipo de situaciones, cuando usábamos estrategias curas,
[00:13:03 -> 00:13:09]  todo de termítico, no todo sistema tenía solución.
[00:13:09 -> 00:13:18]  Ahora pasamos a los sistemas de los cuales las estrategias eran tocadas.
[00:13:18 -> 00:13:33]  Ya he explicado que todo fuego, o sea, todo sistema de este tipo tiene solución.
[00:13:33 -> 00:13:34]  ¿Puede ser una solución?
[00:13:34 -> 00:13:40]  El Sici aquí dice, es decir, tiene una solución de equilibrio
[00:13:40 -> 00:13:44]  menos una solución de equilibrio que es un equilibrio anulado.
[00:13:46 -> 00:13:49]  Pero no necesariamente de esa ...
[00:13:50 -> 00:13:59]  ???
[00:13:59 -> 00:14:01]  ¿ Lo quemospa***
[00:14:01 -> 00:14:04]  Los agentes pueden cambiar, siéntate
[00:14:06 -> 00:14:09]  Y si uno cambia, entonces, cualquier otro puede cambiar
[00:14:10 -> 00:14:12]  Entonces no es una solución
[00:14:14 -> 00:14:16]  En ese punto de evitado
[00:14:18 -> 00:14:21]  Es tablo, por más que no se nos descargamos
[00:14:21 -> 00:14:23]  Y otra cosa que vimos
[00:14:24 -> 00:14:28]  Es, como vimos en el caso de Steve y Sara
[00:14:28 -> 00:14:40]  es que los acuerdos verbales que se pueden llegar a establecer no son contratos
[00:14:40 -> 00:14:47]  y en el sentido de que, bueno, eventualmente, cualquiera lo puede contar si no estoy en una situación de equilibrio
[00:14:47 -> 00:15:04]  Si no se trata de una situación de equilibrio, entonces, en ese sentido, el equilibrio es que no habría incentivo en moverse, o sea, en tiros de acción.
[00:15:04 -> 00:15:14]  Entonces, esto por ejemplo es una situación de equilibrio porque este jugador tiene incentivo para cambiar y no es por acá.
[00:15:14 -> 00:15:23]  Y entonces este tiene un 0 acá y un 0 por acá.
[00:15:23 -> 00:15:28]  No es 9.
[00:15:28 -> 00:15:41]  Ahora, las cosas que habían surgido y que son problemáticas es que puede haber más
[00:15:41 -> 00:15:49]  de un individuo, un problema, puede tener más de una solución.
[00:15:49 -> 00:15:52]  Si quieres ahora, podemos decir que resolver el juego es que tenemos un problema,
[00:15:52 -> 00:15:58]  tiene un problema que resolver ese juego y es encontrar un individuo.
[00:16:00 -> 00:16:04]  Puede haber más que una solución,
[00:16:04 -> 00:16:08]  puede haber soluciones de distintos tipos, de termínticas, de gestos cásticas
[00:16:08 -> 00:16:12]  y ahora vamos a ver que eventualmente
[00:16:14 -> 00:16:16]  no todo termina los equilibrios de hash,
[00:16:16 -> 00:16:30]  sino que hay otro tipo de equilibrio que un poco resuelve el tema del acuerdo, el tema del consenso,
[00:16:30 -> 00:16:35]  pero recurriendo a algún artefacto exterior.
[00:16:35 -> 00:16:42]  Pero lo resuelve siempre tratando de conseguir un equilibrio.
[00:16:42 -> 00:16:47]  Si el acuerdo se consigue, no es una situación de equidad, entonces se va a contar.
[00:16:47 -> 00:16:49]  Esa es la lógica.
[00:16:49 -> 00:16:52]  Entonces ahora vamos a ver otra situación.
[00:16:52 -> 00:16:54]  Vamos a hablar de un ejemplo.
[00:16:54 -> 00:17:00]  Una situación en la cual hay muchos equilibrios
[00:17:00 -> 00:17:06]  y hay algunos más que vamos a sacar a flote.
[00:17:06 -> 00:17:17]  Y después de esto, normalmente no lo valoraba, nosotros no lo vimos, pero ahora...
[00:17:17 -> 00:17:32]  Pero hay algoritmos que no encuentran, digamos, el panorama completo.
[00:17:32 -> 00:17:40]  Ese algoritmo de realizaje no va a darme como valorado hoy, no va a dar la próxima clase.
[00:17:40 -> 00:17:51]  Pero sí vamos a ver este nuevo tipo de equilibrio que llamamos equilibrio correlacional.
[00:18:02 -> 00:18:08]  Aquí lo que lo que puedo hacer es...
[00:18:08 -> 00:18:14]  Si quieren lo que están online, me voy a compartir algunas cosas.
[00:18:14 -> 00:18:23]  Pero creo que voy a echar un poco las líneas positivas del desarrollo.
[00:18:32 -> 00:18:48]  Cuando se desarrolle le digo así y después lo voy a compartir.
[00:18:48 -> 00:19:05]  Vamos a ver el método que vimos en la última clase para resolver a mano los juegos sencillos
[00:19:05 -> 00:19:12]  que lo vimos con el caso de minimax.
[00:19:12 -> 00:19:16]  Ahora vamos a usar la misma técnica.
[00:19:20 -> 00:19:25]  Vamos a usar la misma técnica para un problema que no es sumacero.
[00:19:25 -> 00:19:29]  Vamos a poder ir medio rápido.
[00:19:29 -> 00:19:33]  Lo de la intersección de rectas.
[00:19:33 -> 00:19:38]  Vamos a revertirlo hasta el número 3.
[00:19:38 -> 00:19:43]  Bien.
[00:19:43 -> 00:19:47]  El ejemplo que vamos a ver es de estos jugadores.
[00:19:47 -> 00:19:51]  Vamos a llamar Alicia y Bruno.
[00:19:51 -> 00:20:03]  Alicia es el jugador rojo y uno jugador asociado, jugador fila y jugador gol.
[00:20:03 -> 00:20:09]  Y acá está su preferencia, definitivamente, no importa solo un día.
[00:20:09 -> 00:20:23]  El problema es el siguiente.
[00:20:23 -> 00:20:31]  Alicia y Bruno son parejos, no son amigos, pero bueno.
[00:20:31 -> 00:20:35]  Este...
[00:20:35 -> 00:20:40]  Le gusta ir al cine, a los partidos...
[00:20:40 -> 00:20:44]  ...de fórmula, de fútbol, de fútbol, de fútbol, de fútbol...
[00:20:44 -> 00:20:49]  Bien, con estas preferencias, a mí se prefieren así...
[00:20:49 -> 00:20:52]  ...ante quiero ver el partido y luego el reto.
[00:20:52 -> 00:20:55]  Entonces son superprecios. Pero...
[00:20:55 -> 00:21:01]  ...se prefieren y fundos, a lo que quieres y fundos.
[00:21:01 -> 00:21:06]  Bien.
[00:21:06 -> 00:21:17]  Entonces, podemos traducir, traducimos esas preferencias en esa matemática de juego que es
[00:21:17 -> 00:21:22]  que es un cálculo de dos acciones, o es un símbolo de partido.
[00:21:22 -> 00:21:37]  Y básicamente están en las propiedades 210, con el 2 de Alicia para Cine,
[00:21:37 -> 00:21:45]  y el 2 de Bruno para partido.
[00:21:45 -> 00:21:49]  Bueno, los al partido, eso es lo que más aliface a Bruno
[00:21:49 -> 00:21:55]  y los dos a Cines, es lo que más prefiere a Alicia.
[00:21:55 -> 00:22:01]  Pero bueno, los dos prefieren ir juntos, ahí separados, entonces
[00:22:01 -> 00:22:08]  Bruno prefiere Cines-Cines a ir solo al partido
[00:22:08 -> 00:22:14]  y lo mismo Alicia, que prefiere ir al partido y solo al partido.
[00:22:15 -> 00:22:21]  Entonces le da esa matriz 2,1,1,2 y 6
[00:22:26 -> 00:22:35]  Bueno, ahí ya tiene una solución, o un par de soluciones
[00:22:35 -> 00:22:44]  Lo que queremos hacer en el ejercicio es... yo le pregunto, ¿existen estrategias puras que son equilibrios?
[00:22:45 -> 00:22:52]  Bueno, ya saben cuáles son, pero ¿se acuerdan cómo hacíamos para encontrarlas?
[00:22:54 -> 00:22:56]  Ya puedo...
[00:22:58 -> 00:23:00]  ...estribirlas.
[00:23:05 -> 00:23:09]  con la batería acá
[00:23:11 -> 00:23:13]  ¿te acuerdas cómo hacíamos?
[00:23:13 -> 00:23:20]  esto era 2,1,0,1,2,0,0
[00:23:20 -> 00:23:26]  como encontramos el equilibrio de C,C,C,C
[00:23:26 -> 00:23:49]  Ya marcábamos, por ejemplo, para Alicia, frente a C, si Bruno elige C, cuál es la best
[00:23:49 -> 00:23:59]  respons de Alicia. Vamos a hacer. Y si Bruno elige partido, cuál es la respons?
[00:23:59 -> 00:24:10]  Es el mayor elemento de la bruna. Y para Bruno somos al revés. Si Alicia elige cine, cuál es la respons?
[00:24:10 -> 00:24:13]  ¿Quién? Que más yo quise ver.
[00:24:13 -> 00:24:18]  Y si Alicia dice partido, la verdad es que es Pong's.
[00:24:23 -> 00:24:32]  C para Alicia es la verdad de Pong's para C, para Cine, para C1.
[00:24:32 -> 00:24:36]  Y partido es la verdad de Pong's.
[00:24:36 -> 00:24:42]  a partido y recién programado. Eso nos da los dos equilibrios.
[00:24:42 -> 00:24:46]  Entonces, bien.
[00:24:46 -> 00:24:52]  Los dos equilibrios en estrategias U.
[00:24:52 -> 00:25:00]  Hay otros equilibrios pero esto mucho no resuelve porque
[00:25:00 -> 00:25:04]  ¿qué es lo que pasa con esto? Si no, quedamos fuera.
[00:25:04 -> 00:25:09]  Es lo que puede pasar. Si yo quiero hacer responder una pregunta, ¿cuál es la utilidad esperada?
[00:25:11 -> 00:25:13]  ¿Qué es lo que tiene que...
[00:25:16 -> 00:25:20]  ¿Puede pasar que terminen siendo solos?
[00:25:27 -> 00:25:33]  Porque individualmente no pueden decidir cuál es el equilibrio.
[00:25:34 -> 00:25:40]  Esto es un sistema lineal donde hay una ecuación con muchas soluciones.
[00:25:40 -> 00:25:42]  Acá hay dos y bueno.
[00:25:42 -> 00:25:46]  Por ahí no es muy satisfactorio que esto es una solución.
[00:25:46 -> 00:25:52]  Si ahora la pregunta es ¿cuál es la oportunidad de hacer silencio?
[00:25:52 -> 00:25:58]  Si con uno o Alicia se pregunta ¿cuál es la oportunidad?
[00:25:58 -> 00:26:03]  Sergio, una consulta, ¿acá hay un concepto de turno o algo de eso?
[00:26:03 -> 00:26:07]  Porque si nadie toma iniciativa, nadie quiere ir a ningún...
[00:26:07 -> 00:26:08]  O sea, tipo...
[00:26:08 -> 00:26:10]  No, es simultáneo.
[00:26:10 -> 00:26:12]  Pero bueno, es simultáneo.
[00:26:12 -> 00:26:15]  Pero bueno, es simultáneo.
[00:26:15 -> 00:26:17]  El juego es simultáneo.
[00:26:19 -> 00:26:21]  El juego es simultáneo.
[00:26:21 -> 00:26:25]  Si quieren una situación, si pueden...
[00:26:25 -> 00:26:36]  Este tipo de situación también es similar a otra en la cual, por ejemplo, todos autos llegan a una boca calle
[00:26:36 -> 00:26:45]  en la cual no hay señalización ni de pared, ni de reglas de la derecha, ni de ninguna regla, ni semáforo, ni nada.
[00:26:48 -> 00:26:50]  Exactamente lo mismo.
[00:26:50 -> 00:26:52]  Es un poco de quien toma la iniciativa.
[00:26:52 -> 00:26:54]  Quien toma la iniciativa.
[00:26:54 -> 00:26:56]  Paso, no paso.
[00:26:56 -> 00:26:58]  Y entonces acá queda como en deadlock.
[00:26:58 -> 00:27:00]  No, esto...
[00:27:00 -> 00:27:02]  No, simplemente
[00:27:02 -> 00:27:04]  la prioridad,
[00:27:04 -> 00:27:06]  hasta acá te dice, tenés esos 12 preguntas.
[00:27:06 -> 00:27:08]  Pues eres el o no es el.
[00:27:08 -> 00:27:10]  Pero por ahí no sé si no.
[00:27:10 -> 00:27:12]  Claro.
[00:27:12 -> 00:27:14]  Pero previamente habíamos visto
[00:27:14 -> 00:27:16]  como los agentes
[00:27:16 -> 00:27:18]  se evaluaban como una estrategia
[00:27:18 -> 00:27:24]  de un mejor camino a seguir, ¿no? O sea, este pasado en las preferencias que se conocen entre
[00:27:24 -> 00:27:30]  entre todos, o sea, como que iban buscando cuál es el camino óptimo y en este caso que no hay
[00:27:30 -> 00:27:38]  camino óptimo nadie se movería de... o sí. Ya dijimos que el tema no es la optimalidad sino
[00:27:38 -> 00:27:42]  el equilibrio. Hay dos situaciones del equilibrio.
[00:27:42 -> 00:27:53]  Cuando uno dice, tenemos que decidir también, y uno dice sí y el otro dice partida.
[00:27:53 -> 00:27:57]  Cada uno solo.
[00:27:57 -> 00:28:03]  Pero no tenés algo que ponerte decir, bueno, cuál es la expectativa, cuál es la utilidad que se les haga,
[00:28:03 -> 00:28:07]  que eso ocurra.
[00:28:07 -> 00:28:22]  Pero mismo ya, una idea buena, y no vamos a ir de esperada a esperanza, vamos a estrategias estotásticas.
[00:28:22 -> 00:28:33]  La pregunta es, si existe, ahora yo sé que hay dos estrategias, pero hay alguna estotástica.
[00:28:33 -> 00:28:35]  Ya sé que hay dos.
[00:28:35 -> 00:28:37]  Ya sé que hay dos, estrategia pura, eso es el equilibrio.
[00:28:37 -> 00:28:39]  A ver, hay más.
[00:28:43 -> 00:28:45]  Bueno, vamos a ver.
[00:28:45 -> 00:28:49]  Y para hacerlo vamos a hacer el descalzamiento que hicimos.
[00:28:49 -> 00:28:53]  La respuesta es sí, pero ¿cómo las encontramos?
[00:28:53 -> 00:28:59]  Después le vamos a tirar de problema a los arremios de learning, también.
[00:28:59 -> 00:29:01]  Y nos van a dar una respuesta.
[00:29:03 -> 00:29:12]  Pero este problema se puede resolver por la simpe sistema lineal de una opción y una opción.
[00:29:12 -> 00:29:28]  Pero está bueno verlo para entender el razonamiento, porque este razonamiento nos va a ayudar a entender cómo funciona el albular y que en realidad el albular lo vamos a entender porque es como lo veíamos.
[00:29:28 -> 00:29:34]  Bien, ven que lo voy a compartir.
[00:29:34 -> 00:29:43]  Creo que se está mostrando allá, pero lo comparto un segundito para que lo veamos.
[00:29:43 -> 00:29:49]  Es más fácil hacer el planteo.
[00:29:49 -> 00:29:56]  Lo que habíamos visto para resolver este tipo de problemas, sencillos.
[00:29:56 -> 00:29:58]  El plan de Ocho sigue, bueno...
[00:30:00 -> 00:30:02]  Esto es para los dos jugadores.
[00:30:02 -> 00:30:05]  Vamos a empezar con Bruno, podemos empezar con Alicia.
[00:30:05 -> 00:30:07]  ¿Cómo vamos a hacer eso?
[00:30:11 -> 00:30:13]  Bruno dice, bueno...
[00:30:14 -> 00:30:18]  ¿Qué pasa si yo juego una...
[00:30:18 -> 00:30:22]  O sea, mi estrategia fue la de tocar?
[00:30:22 -> 00:30:27]  Lo que yo quiero saber es cuál es eso.
[00:30:27 -> 00:30:30]  Por eso lo planteo como un incógnito.
[00:30:30 -> 00:30:33]  ¿Cómo que yo juego la prórroga perfideal?
[00:30:34 -> 00:30:38]  Como tengo dos acciones,
[00:30:38 -> 00:30:42]  lo único que me necesito es una sola hipógnita,
[00:30:42 -> 00:30:47]  que es la próbola ideal de la cual, por ejemplo, voy a jugar cine.
[00:30:47 -> 00:30:56]  Voy a elegir sin él. Y uno menos x, porque son el x, y uno menos x, es la probabilidad de elegir partido.
[00:30:56 -> 00:30:58]  ¿Va?
[00:31:00 -> 00:31:03]  Entonces, ahí es un poco donde uso conocimiento 1.
[00:31:03 -> 00:31:05]  Pense.
[00:31:05 -> 00:31:09]  O sea, Alicia va a hacer lo mismo que yo.
[00:31:09 -> 00:31:13]  Entonces, va a intentar buscar la verdad de Fox.
[00:31:13 -> 00:31:15]  Vamos a intentar buscar la verdad de Fox.
[00:31:15 -> 00:31:34]  ¿Cuánto obtendría Alicia si Bruno elige esa difusión?
[00:31:34 -> 00:31:38]  Le damos esta matriz.
[00:31:38 -> 00:31:47]  Entonces, si Bruno elige C, Alicia tiene dos posibilidades de elegir.
[00:31:47 -> 00:31:52]  Bruno puede elegir C porque C comprobaría X y P comprobaría 1 menos X.
[00:31:52 -> 00:32:07]  Si Alicia elige C, entonces obtendría 2 por X más 0 por 1 más X.
[00:32:07 -> 00:32:10]  Como que sea su esperanza.
[00:32:10 -> 00:32:27]  Si existe una vez en el pón de estocaptica, existe una vez en el místico.
[00:32:27 -> 00:32:35]  Entonces no me planteo cuál es la estocaptica, me planteo que Alicia va a jugar O.C. o B.
[00:32:35 -> 00:32:45]  Entonces, es importante, la utilidad que vamos a obtener va a ser 2 por x más 0 por n.
[00:32:45 -> 00:32:52]  Y si fuera f, va a ser 0 por x y 1 por n.
[00:32:52 -> 00:32:55]  ¿Está bien?
[00:32:55 -> 00:32:58]  Pero Alicia, ahí va a decir...
[00:32:58 -> 00:33:01]  Bueno, o sea, ¿qué es todo eso?
[00:33:01 -> 00:33:05]  ¿Cuál es?
[00:33:05 -> 00:33:07]  Para...
[00:33:11 -> 00:33:15]  Lo que intento hacer es...
[00:33:15 -> 00:33:19]  Bueno, si yo no sé qué es lo que voy a jugar
[00:33:19 -> 00:33:22]  Le tiene que ser indiferente
[00:33:22 -> 00:33:24]  Jugarse open
[00:33:26 -> 00:33:28]  ¿Lo que tenés?
[00:33:28 -> 00:33:30]  ¿Lo que tenés?
[00:33:31 -> 00:33:39]  ¿Para qué casos C y P son las dos verresponses?
[00:33:39 -> 00:33:51]  Porque en ese caso para ver uno a ver ahí, como que tunea su probabilidad para que no importa la opinión de respuesta.
[00:33:51 -> 00:33:56]  Alicia, ¿sepan cómo hacer la opinión?
[00:33:56 -> 00:34:10]  Y sabe que Alicia va a ser lo mismo, entonces, mutuamente van a tratar de encontrar
[00:34:10 -> 00:34:14]  cada uno por separado, haciendo el mismo análisis, el punto mequínico.
[00:34:14 -> 00:34:24]  Entonces, si lo que estamos diciendo es que es lo mismo jugar C o P para Alicia,
[00:34:24 -> 00:34:30]  tienen que tener la misma utilidad, la misma manera que Alicia juegue, les sea lo mismo jugarse con él
[00:34:30 -> 00:34:32]  y que tengan la misma utilidad
[00:34:32 -> 00:34:37]  o sea que las dos ecuaciones sean iguales
[00:34:37 -> 00:34:40]  las dos funciones de utilidad sean iguales
[00:34:40 -> 00:34:50]  que 2x sea igual a 1-x
[00:34:50 -> 00:34:57]  Y eso le da a Bruno que para que eso ocurra, y para que sea la unidad el,
[00:34:57 -> 00:35:05]  a Alicia, a Alicia, y pueda jugar ser ope, es jugar, o sea elegir si he con probabilidad 1 tercio
[00:35:05 -> 00:35:13]  y resolver otra pasión, que es la que dice si iguala 1 tercio, la que tiene la intersección de esa obra.
[00:35:13 -> 00:35:22]  Tiene que jugar el cine con probabilidad de un tercero y el partido con probabilidad de dos terceros.
[00:35:22 -> 00:35:30]  El modo tiene el sentido que tiene más probabilidad de un partido.
[00:35:30 -> 00:35:46]  mal gusta, pero tiene una chance de jugar de quisi.
[00:35:46 -> 00:35:52]  Y eso corresponde a alguna intersección entre esas dos.
[00:35:52 -> 00:36:04]  Si esto fuera un juego de suma 0, eso sería el mínimo de los máximos y este es el máximo del mínimo.
[00:36:04 -> 00:36:16]  Y esto me dice dos cosas, me dice este es el punto de esta excepción, pero además me da la utilidad ya que va a obtener eso que está ahí de estos parqueos que fueron.
[00:36:16 -> 00:36:22]  Hasta ahora lo que necesitamos agarrar ahí es que básicamente está en sp.c.
[00:36:22 -> 00:36:31]  Para esa instrucción de probabilidad, un tercio y unos tercios, tanto C como P son verbos banales.
[00:36:31 -> 00:36:47]  Y ahora, si, o sea, si lo piensas en vectores, el vector 1, 0 y vector 0, 1, son vergonzos.
[00:36:47 -> 00:37:03]  Entonces cualquier combinación lineal, cualquier distribución de probabilidad, que eso yo le
[00:37:03 -> 00:37:09]  que funga a P, o a C o a P para la misma opinión.
[00:37:13 -> 00:37:20]  Entonces, como eso, bueno, ahora tenemos que ver qué discusión de proveer es decir la Alicia,
[00:37:20 -> 00:37:28]  yo sé que va a haber alguna, porque tanto C como P son ambos bet-reports.
[00:37:28 -> 00:37:34]  y bueno, ahí se hace exactamente el mismo análisis simétrico.
